zp,mu,absmagnitude,magnitude,time,e_absmagnitude,upperlimit,z,instrument,e_magnitude,e_flux,name,flux,band,e_zp,facility
-48.6,37.65880949200498,-14.89649007388389,22.762319418121088,58156.015483,10.794731887137724,False,0.07944,Kepler,11.378988531284648,2.7963303404355267e-29,2017jgh,2.8514924941627205e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.394575350112454,22.264234141892523,58156.035916,6.8259226603437595,False,0.07944,Kepler,9.969861642171445,2.7963303404355267e-29,2017jgh,4.5113481443393866e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.168090681223553,22.490718810781424,58156.05635,8.407053598070016,False,0.07944,Kepler,10.848449883484152,2.7963303404355267e-29,2017jgh,3.6619505523490073e-29,K,0.0,Kepler
-48.6,37.65880949200498,-16.06399727618014,21.594812215824838,58156.076783,3.686952130284553,False,0.07944,Kepler,6.497963531711506,2.7963303404355267e-29,2017jgh,8.357475529654884e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.881084450528924,21.777725041476053,58156.11765,4.362189890283522,False,0.07944,Kepler,7.454718369094022,2.7963303404355267e-29,2017jgh,7.061711703876847e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.347612741199775,23.311196750805202,58156.158518,17.887761410898076,False,0.07944,Kepler,10.402688501855286,2.7963303404355267e-29,2017jgh,1.7199716940133456e-29,K,0.0,Kepler
-48.6,37.65880949200498,-16.337964083655685,21.320845408349292,58156.178951,2.8654917724166897,False,0.07944,Kepler,5.191924985180544,2.7963303404355267e-29,2017jgh,1.0756273503799152e-28,K,0.0,Kepler
-48.6,37.65880949200498,-15.156224795018083,22.502584696986894,58156.219819,8.495210528630995,False,0.07944,Kepler,10.884850070302846,2.7963303404355267e-29,2017jgh,3.6221474137443247e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.331892326085857,22.32691716591912,58156.240252,7.225340025885121,False,0.07944,Kepler,10.244108140988015,2.7963303404355267e-29,2017jgh,4.2582693996144887e-29,K,0.0,Kepler
-48.6,37.65880949200498,-16.00249452100524,21.656314970999738,58156.260686,3.8990266634157527,False,0.07944,Kepler,6.813962766513303,2.7963303404355267e-29,2017jgh,7.89721590649333e-29,K,0.0,Kepler
-48.6,37.65880949200498,-12.534790082083184,25.124019409921793,58156.281119,94.9094979009261,False,0.07944,Kepler,2.8714769222363277,2.7963303404355267e-29,2017jgh,3.238860447699626e-30,K,0.0,Kepler
-48.6,37.65880949200498,-14.356827609273942,23.301981882731035,58156.301553,17.718471417578886,False,0.07944,Kepler,-10.438158522159084,2.7963303404355267e-29,2017jgh,-1.7346315727780728e-29,K,0.0,Kepler
-48.6,37.65880949200498,-13.216959109082289,24.441850382922688,58156.321987,50.61194318996801,False,0.07944,Kepler,-5.067605652602432,2.7963303404355267e-29,2017jgh,-6.070994603523199e-30,K,0.0,Kepler
-48.6,37.65880949200498,-13.477448311894413,24.181361180110564,58156.34242,39.84058896421559,False,0.07944,Kepler,6.201124401026143,2.7963303404355267e-29,2017jgh,7.717124876660586e-30,K,0.0,Kepler
